Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
LP001002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y,5849.00
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N,6091.00
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y,3000.00
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y,4941.00
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y,6000.00
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y,9613.00
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y,3849.00
LP001014,Male,Yes,3,Graduate,No,3036,2504,158,360,0,Semiurban,N,5540.00
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y,5532.00
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N,23809.00
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y,3900.00
LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y,4340.00
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y,11179.00
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N,4693.00
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y,2385.00
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y,4950.00
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y,3596.00
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N,3510.00
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N,4887.00
LP001041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y,6100.00
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,7660.00
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y,11580.00
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,4511.00
LP001050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,5282.00
LP001052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N,6642.00
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y,9560.00
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,5052.00
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y,5266.00
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N,1442.00
LP001087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y,5833.00
LP001091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N,7535.00
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N,3167.00
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N,4692.00
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y,5167.00
LP001100,Male,No,3,Graduate,No,12500,3000,320,360,1,Rural,N,15500.00
LP001106,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y,4342.00
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N,3158.00
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y,5126.00
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y,11376.00
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y,5416.00
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N,3600.00
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y,3013.00
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y,2400.00
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y,6277.00
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y,4695.00
LP001137,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y,3410.00
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y,5649.00
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y,5821.00
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N,6085.00
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y,6275.00
